2124242,Juan Jacob Lopez Fernández,juan@u.edu.co,1
1005789,Andrés Felipe Beltrán Ruiz,andres@u.edu.co,1
1006999,Laura Daniela Caicedo Peña,laura@u.edu.co,1
1006888,Kevin Alberto Restrepo Solano,kevin@u.edu.co,1
1006777,Mariana Lucía Rojas Benavides,mariana@u.edu.co,1
1005456,María Camila Torres Buendía,maria@u.edu.co,1
1006666,Juan Diego Palacios Vivas,juand@u.edu.co,1
1006555,Isabella Rose Gómez Hurtado,isabella@u.edu.co,1
1007556,Alejandro José Borrero Navia,alejandro@u.edu.co,1
1007667,Gabriela Estefanía Cifuentes Saa,gabriela@u.edu.co,1
1007778,Jhan Carlos Hinestroza Mosquera,jhan@u.edu.co,1
1007112,Sebastián Camilo Murillo Paz,sebastian@u.edu.co,1
1007223,Valeria Alexandra Mina Castillo,valeria@u.edu.co,1
1007334,Daniel Fernando Angulo Tenorio,daniel@u.edu.co,1
1007445,Natalia María Suárez Vargas,natalia@u.edu.co,1
1006444,Mateo Nicolás Delgado Ortiz,mateo@u.edu.co,1
1005123,Carlos Andrés Pérez Ospina,carlos@u.edu.co,1
1006333,Valentina Sofía Erazo Córdoba,valentina@u.edu.co,1
1006222,Santiago Alejandro Muñoz Marín,santiago@u.edu.co,1
1006111,Diana Marcela Gómez Castro,diana@u.edu.co,1
